a,ka,kya,ga,gya,sa,sya,za,zya,ta,tya,da,dya,na,nya,ha,hya,ma,mya,ya,ra,rya,wa,n
i,ki,,gi,,si,,zi,,ti,,di,,ni,,hi,,mi,,,ri
u,ku,kyu,gu,gyu,su,syu,zu,zyu,tu,tyu,du,dyu,nu,nyu,hu,hyu,mu,myu,yu,ru,ryu
e,ke,,ge,,se,,ze,,te,,de,,ne,,he,,me,,,re
o,ko,kyo,go,gyo,so,syo,zo,zyo,to,tyo,do,dyo,no,nyo,ho,hyo,mo,myo,yo,ro,ryo,wo
